kind	class	method	param	index	uri	field
METHOD	com.github.mikephil.charting.utils.Transformer	generateTransformedValuesScatter(com.github.mikephil.charting.interfaces.datasets.IScatterDataSet,float,float,int,int)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/utils/Transformer.java	valuePointsForGenerateTransformedValuesScatter
METHOD	com.github.mikephil.charting.utils.Transformer	generateTransformedValuesBubble(com.github.mikephil.charting.interfaces.datasets.IBubbleDataSet,float,int,int)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/utils/Transformer.java	valuePointsForGenerateTransformedValuesBubble
METHOD	com.github.mikephil.charting.utils.Transformer	generateTransformedValuesLine(com.github.mikephil.charting.interfaces.datasets.ILineDataSet,float,float,int,int)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/utils/Transformer.java	valuePointsForGenerateTransformedValuesLine
METHOD	com.github.mikephil.charting.utils.Transformer	generateTransformedValuesCandle(com.github.mikephil.charting.interfaces.datasets.ICandleDataSet,float,float,int,int)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/utils/Transformer.java	valuePointsForGenerateTransformedValuesCandle
METHOD	com.github.mikephil.charting.utils.ObjectPool	resizePool()	null	null	/Users/nima/Developer/NullAwayFixer/Projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/utils/ObjectPool.java	objects
METHOD	com.github.mikephil.charting.data.LineDataSet	setMode(com.github.mikephil.charting.data.LineDataSet.Mode)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/LineDataSet.java	mMode
METHOD	com.github.mikephil.charting.data.LineDataSet	setFillFormatter(com.github.mikephil.charting.formatter.IFillFormatter)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/LineDataSet.java	mFillFormatter
METHOD	com.github.mikephil.charting.data.LineDataSet	setFillFormatter(com.github.mikephil.charting.formatter.IFillFormatter)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/LineDataSet.java	mFillFormatter
METHOD	com.github.mikephil.charting.data.DataSet	setEntries(java.util.List<T>)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/DataSet.java	mEntries
METHOD	com.github.mikephil.charting.data.BaseDataSet	setLabel(java.lang.String)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BaseDataSet.java	mLabel
METHOD	com.github.mikephil.charting.data.BaseDataSet	setForm(com.github.mikephil.charting.components.Legend.LegendForm)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BaseDataSet.java	mForm
METHOD	com.github.mikephil.charting.data.BaseDataSet	setAxisDependency(com.github.mikephil.charting.components.YAxis.AxisDependency)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BaseDataSet.java	mAxisDependency
METHOD	com.github.mikephil.charting.components.YAxis	setPosition(com.github.mikephil.charting.components.YAxis.YAxisLabelPosition)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/components/YAxis.java	mPosition
METHOD	com.github.mikephil.charting.components.Legend	setEntries(java.util.List<com.github.mikephil.charting.components.LegendEntry>)	null	null	/Users/nima/Developer/NullAwayFixer/Projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/components/Legend.java	mEntries
