kind	class	method	param	index	uri	reason	annotation	rootClass	rootMethod
METHOD	com.github.mikephil.charting.data.BaseEntry	getData()	null	null	/tmp/projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BaseEntry.java	RETURN_NULLABLE	nullable	com.github.mikephil.charting.data.BaseEntry	getData()
FIELD	com.github.mikephil.charting.data.LineDataSet	null	mCircleColors	null	/tmp/projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/LineDataSet.java	ASSIGN_FIELD_NULLABLE	nullable	com.github.mikephil.charting.data.LineDataSet	mCircleColors
METHOD	com.github.mikephil.charting.data.DataSet	getEntryForXValue(float,float,com.github.mikephil.charting.data.DataSet.Rounding)	null	null	/tmp/projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/DataSet.java	RETURN_NULLABLE	nullable	com.github.mikephil.charting.data.DataSet	getEntryForXValue(float,float,com.github.mikephil.charting.data.DataSet.Rounding)
FIELD	com.github.mikephil.charting.data.BaseDataSet	null	mValueFormatter	null	/tmp/projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BaseDataSet.java	METHOD_NO_INIT	nullable	com.github.mikephil.charting.data.BaseDataSet	null
FIELD	com.github.mikephil.charting.data.BaseDataSet	null	mValueTypeface	null	/tmp/projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BaseDataSet.java	METHOD_NO_INIT	nullable	com.github.mikephil.charting.data.BaseDataSet	null
FIELD	com.github.mikephil.charting.data.BaseDataSet	null	mColors	null	/tmp/projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BaseDataSet.java	ASSIGN_FIELD_NULLABLE	nullable	com.github.mikephil.charting.data.BaseDataSet	mColors
FIELD	com.github.mikephil.charting.data.BaseDataSet	null	mValueColors	null	/tmp/projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/BaseDataSet.java	ASSIGN_FIELD_NULLABLE	nullable	com.github.mikephil.charting.data.BaseDataSet	mValueColors
METHOD	com.github.mikephil.charting.data.ChartData	getEntryForHighlight(com.github.mikephil.charting.highlight.Highlight)	null	null	/tmp/projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/ChartData.java	RETURN_NULLABLE	nullable	com.github.mikephil.charting.data.ChartData	getEntryForHighlight(com.github.mikephil.charting.highlight.Highlight)
METHOD	com.github.mikephil.charting.data.ChartData	getDataSetByIndex(int)	null	null	/tmp/projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/ChartData.java	RETURN_NULLABLE	nullable	com.github.mikephil.charting.data.ChartData	getDataSetByIndex(int)
METHOD	com.github.mikephil.charting.data.ChartData	getMaxEntryCountSet()	null	null	/tmp/projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/data/ChartData.java	RETURN_NULLABLE	nullable	com.github.mikephil.charting.data.ChartData	getMaxEntryCountSet()
METHOD	com.github.mikephil.charting.highlight.Highlight	getAxis()	null	null	/tmp/projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/highlight/Highlight.java	RETURN_NULLABLE	nullable	com.github.mikephil.charting.highlight.Highlight	getAxis()
METHOD	com.github.mikephil.charting.utils.Fill	getGradientColors()	null	null	/tmp/projects/MPAndroidChart/MPChartLib/src/main/java/com/github/mikephil/charting/utils/Fill.java	RETURN_NULLABLE	nullable	com.github.mikephil.charting.utils.Fill	getGradientColors()
